链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210421130,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<欧洲-英国9日游>广州往返 大英博物馆 爱丁堡城堡 温德米尔湖 剑桥学院 牛津大学 比斯特购物村 领略大不列颠美食 伦敦自由活动,￥8799,100%,20,2人,",大英博物馆，温德米尔湖，牛津大学林肯学院，白金汉宫，牛津大学，爱丁堡城堡",凯撒旅游,9月25日,",广州出发| 广州成团| 牛津大学 剑桥校园 温德米尔湖 大英博物馆 ",自然遗产
http://www.tuniu.com/tour/210486602,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+波兰+捷克+斯洛伐克+匈牙利+奥地利东欧六国12日游>免费联运，一价全含0自费，全程四星，维谢格莱德城堡，渔人堡，多瑙河游船,￥11114,99%,135,12人,",查理大桥，圣维特大教堂，布拉迪斯拉发城堡，柏林查理检查站，安德拉什大街，布拉提斯拉法，华沙老城，渔人堡，瓦豪河谷，总统府广场",五洲行（欧澳）,9月21日，10月21日，10月26日，10月28日，11月4日，11月11日,",广州出发| 北京成团| 全程无自费 多城市联运 不收服务费 赠送游船体验 猪肘餐",自然遗产可异地按指纹无自费
http://www.tuniu.com/tour/210555790,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊+土耳其16日游>广州往返  四五星 含签证费   圣托里尼  蓝白世界  文化遗址  卡帕多奇亚 棉花堡 番红花城 蓝色清真寺,￥12202,98%,24,6人,",博斯普鲁斯海峡，无名战士纪念碑，圣托里尼岛，君士坦丁堡，希拉波利斯古城，棉花堡，特洛伊古城，宪法广场，鸽子谷，托普卡普宫",五洲行（深圳）,10月15日，11月11日，11月25日，12月11日，12月23日,",广州出发| 广州成团| 以弗所遗址 特洛伊古城 孔亚",null
http://www.tuniu.com/tour/210147548,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯双飞9日游>莫斯科，圣彼得堡，瑞典古堡/什利谢利堡，叶卡捷琳娜宫殿,￥7689,92%,83,10人,",莫斯科地铁，彼得保罗要塞，红场，莫斯科国家历史博物馆，青铜骑士，列宁墓，涅瓦大街，克里姆林宫，冬宫，喀山大教堂",倾馨旅程,国庆，9月20日，9月27日，10月4日，10月25日，11月1日，11月8日，11月15日，11月22日，11月29日,",广州出发| 广州成团| 南航广州直飞 全国联运 赠送烤肉大餐 ",近绿地
http://www.tuniu.com/tour/210623635,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯8日游>尾货精选，深圳直飞，广州地区可含去程交通，莫斯科，圣彼得堡，红场，夏宫花园，皇家双庄园，保证拼房，跟团免签,￥4249,98%,576,77人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，克里姆林宫，冬宫，亚历山大花园，瓦西里大教堂，列宁山",享游俄罗斯,国庆，9月8日，9月19日，9月26日，9月29日，10月3日，10月10日，10月13日，10月17日，10月20日，10月24日，10月27日，10月31日，11月7日，11月14日，11月21日，11月28日，12月8日，12月15日，12月19日，12月22日，12月26日，12月29日,",深圳出发| 深圳成团| 中俄美食搭配 感受苏联文化 探索战斗民族 游览经典景点 ",人文探索有自由活动
http://www.tuniu.com/tour/210166167,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+瑞士+意大利10-12日瑞士深度游>一价全含，欧洲自营广深出发，瑞士五城，冰川3000或少女峰，西庸城堡，黄金列车，凡尔赛，米其林法餐，WiFi,￥12499,98%,879,235人,",联合国总部，叹息桥，金色山口快车，卡佩尔桥和水塔，巴黎塞纳河游船，圣马可教堂，枫丹白露宫，罗马斗兽场，凡尔赛宫，大喷泉和大花钟",牛人专线,国庆，9月14日，9月27日，9月28日，10月4日，10月6日，10月21日，11月18日，12月25日，1月24日，1月31日，2月2日，3月10日,",深圳出发| 深圳成团| 瑞士深度 西庸古堡 冰川3000轨道划车 日内瓦湖 巴黎圣母院 卢浮宫...",无自费有自由活动
http://www.tuniu.com/tour/210427101,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯+阿联酋迪拜11日游>A线广州EK/B线香港EK 金环小镇 红场 棕榈岛 朱美拉海滩 扎耶德清真寺 体验夜卧火车 游走两个建筑大国,￥7677,96%,37,5人,",亚历山大花园，阿提哈德大厦，谢赫扎耶德大清真寺，列宁山，夏宫，红场，朱美拉棕榈岛，迪拜河，七星级帆船酒店，朱美拉公共海滩",特色旅游,国庆，9月27日，10月2日，10月24日,",广州出发| 广州成团",null
http://www.tuniu.com/tour/210135057,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧四国+双峡湾+冰岛12-14日游>25或30人团，四星，全含，观鲸，部分冰岛4晚，五星邮轮，卑尔根，黄金圈，蓝湖，3大特色餐，WiFi,￥25786,97%,491,119人,",赫尔辛基议会广场，卑尔根，西贝柳斯公园，岩石教堂，赫尔辛基大教堂，松恩峡湾，奥斯陆，哈当厄峡湾，挪威峡湾，诺贝尔奖颁奖晚宴大厅",翔龙万里行,国庆，9月18日，9月26日，10月1日，10月5日，10月7日，10月8日，10月14日,",上海出发| 上海成团| 瓦萨战船 岩石教堂 冰岛蓝湖 观鲸船 腓特烈堡 黄金圈 ",湖光山色纯玩无购物免费WiFi
http://www.tuniu.com/tour/210647089,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+瑞士+意大利10日游>广州往返，25人精致小团，全四星，拒签全退，双宫入内含讲解，双游船，铁力士雪山，WIFI,￥13670,100%,4,null,",叹息桥，英格堡，琉森湖，卢浮宫，狮子纪念碑，埃菲尔铁塔，圣马可广场",凯撒旅游,11月28日,",广州出发| 广州成团| 塞纳河 ",湖光山色有自由活动无自费
http://www.tuniu.com/tour/210654811,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<欧洲-德国+法国+意大利+瑞士12-14日游>0购物店0自费/一价全含/五星航空/全国42个城市可联运/拒签全退/免费WIFI,￥12316,100%,13,null,",叹息桥，协和广场，金色山口快车，巴黎塞纳河游船，新天鹅堡，罗马斗兽场，卢浮宫，凡尔赛宫，高天鹅堡，皮拉图斯山",奇异假期,国庆，9月17日，10月7日，10月27日，11月6日，12月9日,",广州出发| 北京成团| 性价比高 有自由活动 增值服务 ",古迹遗址有自由活动无自费
http://www.tuniu.com/tour/210520815,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<大巴尔干10国全景16天游>欧洲碰上南斯拉夫，深起深止多哈航空香港出发，十六湖公园，萨拉热窝，威尼斯彩虹岛，走遍东欧10国,￥16873,100%,4,null,",杜布罗夫尼克市，布莱德湖，布莱德城堡，卡兰巴卡，奥赫里德湖，布拉诺岛，博雅纳教堂，卡莱梅格丹城堡，塞萨洛尼基，里拉修道院",特色旅游,国庆，10月5日,",广州出发| 深圳成团| 前南斯拉夫 巴尔干半岛 东欧十国 A线香港QR B线广州TK ",null
http://www.tuniu.com/tour/210484141,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<东欧9-10日游>纯美东欧热卖，深圳往返，全四星，哈尔施塔特，CK小镇，音乐之都维也纳，布拉格城堡，渔人堡，部分团期升级波兰,￥7036,98%,295,57人,",国家歌剧院，布拉迪斯拉发城堡，布拉格，慕尼黑新市政厅，帝王广场，布拉提斯拉法，马加什教堂，德弗札克公园，英雄广场，维也纳市立公园",翔龙万里行,中秋，国庆，9月24日，9月25日，10月2日，10月7日，10月9日，11月3日，11月6日，11月13日，11月17日，11月22日,",深圳出发| 深圳成团| 四星酒店 东欧四国连游 哈尔施塔特 CK小镇 直飞东欧 六菜一汤 ",自然遗产
http://www.tuniu.com/tour/210140426,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<北欧四国+俄罗斯13或15日游>国航直飞，可联运可异地指纹，1晚五星，2人海景舱，内陆高铁，海鲜晚宴，15日升级塞马湖，拒签全退,￥19224,90%,784,112人,",西贝柳斯公园，芬兰，岩石教堂，彼得保罗要塞，赫尔辛基大教堂，松恩峡湾，夏宫，奥斯陆，哈当厄峡湾，克里姆林宫",优耐德旅游,9月12日,",北京出发| 北京成团| 国航海航 哈当厄尔峡湾 彼得堡罗要塞 双宫入内 斯德哥尔摩 松恩峡湾游...",可异地按指纹
http://www.tuniu.com/tour/210422924,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<波兰+奥捷匈斯5国10-12日游>欧洲热销，深圳出发，四星，布拉格城堡，克鲁姆洛夫，哈尔施塔特，美泉宫华远，华沙，B行程升级，送WiFi,￥8436,96%,66,18人,",布拉迪斯拉发城堡，布拉格，慕尼黑新市政厅，马加什教堂，布拉提斯拉法，华沙老城，齐格蒙特三世纪念柱，总统府，那金教堂，瓦维尔宫",翔龙万里行,9月27日，10月18日，10月21日，10月23日，10月28日，10月30日,",深圳出发| 深圳成团| 全四星 CK小镇 哈尔施塔特 布达佩斯 布拉格城堡 ",自然遗产
http://www.tuniu.com/tour/210606299,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德法荷比瑞9-10日游>欧洲热卖，深圳直飞往返，五星海航，入内卢浮宫，自由巴黎购物，慢游瑞士小镇时光，德国科隆，至美羊角村,￥6299,100%,10,2人,",瓦杜兹Vaduz，琉森（卢塞恩），卡佩尔桥和水塔，库肯霍夫公园，阿姆斯特丹运河带，布鲁塞尔大广场，琉森湖，罗马广场，罗马斗兽场，五渔村",翔龙万里行,元旦，9月19日，10月17日，10月24日，11月1日，11月6日，11月8日，11月15日，11月22日，11月29日，12月6日，12月13日，12月20日，12月27日，1月3日，1月10日，1月17日，1月24日，1月31日，2月7日，2月14日，2月21日，2月28日，3月7日，3月14日,",深圳出发| 深圳成团| 羊角村 深圳出发 卢浮宫 海航直飞 瑞士小镇 西欧名城 ",有自由活动
http://www.tuniu.com/tour/210136493,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<挪威+丹麦+瑞典+芬兰+峡湾10-11日游>深圳往返 松恩峡湾 五星双人游轮 市政厅 岩石教堂 B行程吕瑟峡湾 布道台全程四星,￥8543,99%,96,10人,",赫尔辛基议会广场，西贝柳斯公园，岩石教堂，松恩峡湾，奥斯陆，挪威峡湾，瑞典皇宫，美人鱼雕像",成功之旅,中秋，9月23日，9月25日，9月29日，10月16日，11月7日，11月26日，12月5日,",深圳出发| 深圳成团| 爱沙尼亚 布道台 海鲜自助餐 ",湖光山色
http://www.tuniu.com/tour/210138978,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<德国-奥地利-捷克-匈斯12日游>自营东欧五国，直飞，升级（五星或温泉），免费联运，600人出游，CK镇，美泉宫，哈尔施塔特，新天鹅堡，2人WIFI,￥13999,96%,574,144人,",布拉格，柏林，德弗札克公园，布达皇宫，普伦莱茵广场，捷克国家歌剧院，马克斯塔楼，威廉皇帝纪念教堂，美泉宫，安德拉什大街",牛人专线,9月17日，10月10日，11月12日，2月9日，3月26日,",北京出发| 北京成团| 一价全含，全程四星级酒店，一晚奥地利湖区小镇酒店，特色猪肘餐，捷克烤鸭...",有自由活动免费WiFi
http://www.tuniu.com/tour/210643948,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯贝加尔湖8日游>尾货精选 奥利洪岛 深起港止 直飞无时差 伊尔库兹克  摄影圣地 夏季环湖小火车 库存有限 欲购从速,￥6621,97%,289,61人,",贝加尔湖",享游俄罗斯,国庆，8月29日，9月5日，9月12日，9月19日，9月26日，10月3日,",深圳出发| 深圳成团| 休闲身心 奥利洪岛 摄影圣地 中俄美食 自由度高 正点航班 ",湖光山色
http://www.tuniu.com/tour/210493889,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲奥地利-捷克-斯洛伐克-匈牙利-东欧四国13日游>24人轻奢小团，纯玩0购物0自费，6晚市中心5星，湖区酒店，米其林一星餐厅，盐矿游览，充分自由活动,￥28099,100%,92,24人,",查理大桥，布拉迪斯拉发城堡，马加什教堂，哈尔施塔特湖，哈莱茵盐矿，渔人堡，英雄广场，维也纳市政厅，布达皇宫，霍夫堡皇宫",加利利旅游,国庆，10月5日，10月19日,",上海出发| 上海成团| 布达佩斯连住 布拉格连住 多瑙河游船 维也纳连住 米其林一星餐 中古世...",湖光山色可异地按指纹纯玩无购物
http://www.tuniu.com/tour/210380725,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯+北欧四国+德国+塔林14-15日游>全含，拒签全退，游轮海景舱，俄罗斯高铁，峡湾游船，猪肘/肉丸/海鲜/酒店西餐，程果园采摘,￥18438,97%,242,44人,",西贝柳斯公园，岩石教堂，松恩峡湾，夏宫，红场，滴血大教堂，克里姆林宫，冬宫，维纳恩湖，汉堡市政厅",全景旅游,中秋，9月16日，9月23日，9月30日,",北京出发| 北京成团| 塔林 瑞典肉丸餐 酒店享用西餐 松恩峡湾 北西兰岛 哥本哈根新港 ",自然遗产免费WiFi
http://www.tuniu.com/tour/210136906,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙+葡萄牙10-13日游>广深出发，全四星，阿尔罕布拉宫，马德里皇宫，圣家族教堂，FG纯玩升级杜丽多古城，海航可以全国联运,￥7442,92%,76,15人,",发现者纪念碑，奎尔公园，罗西奥广场，阿尔罕布拉宫，古城托莱多，马德里王宫，龙达，罗卡角，神圣家族教堂，奥林匹克主会场",成功之旅,中秋，国庆，元旦，9月15日，9月23日，9月24日，9月25日，9月28日，10月2日，10月15日，11月1日，11月8日，11月15日，11月29日，12月1日，12月6日，12月13日，12月20日，12月27日，1月3日，1月10日，1月17日，1月24日，1月31日，2月7日，2月14日，2月21日，2月28日，3月7日，3月14日，3月20日,",深圳出发| 深圳成团| 神圣家族教堂 葡式蛋挞 餐标升级 西班牙烤乳猪 佛拉明哥舞蹈 专业讲解...",有自由活动
http://www.tuniu.com/tour/210140897,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯深起港止9日游>深起港止香港直飞  俄罗斯双首都双庄园  红场 夏宫花园 冬宫广场 唯美拉多加湖倾心之旅,￥5126,88%,296,44人,",瓦西里大教堂，斯莫尔尼宫，红场，青铜骑士，列宁墓，涅瓦大街，冬宫",倾馨旅程,国庆，8月31日，9月21日，9月25日，10月7日,",深圳出发| 香港成团| 俄式情怀 红场 莫斯科大学 夏宫花园 圣彼得堡 ",园林建筑
http://www.tuniu.com/tour/210592585,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯双首都+谢镇四飞8日游>全程四星 含意外险 莫斯科 圣彼得堡 金环小镇 冬宫 夏宫花园 彼得保罗要塞 喀山大教堂,￥5980,86%,153,18人,",莫斯科地铁，莫斯科喀山圣母大教堂，夏宫，彼得保罗要塞，红场，谢尔盖耶夫圣三一大修道院，俄罗斯冬宫博物馆",乐逸达,国庆，8月30日，9月6日，9月20日，9月27日，10月4日，10月11日，10月18日,",深圳出发| 深圳成团| 正点航班 俄式美食 金环小镇 夏宫花园 冬宫 莫斯科 ",城市观光有自由活动
http://www.tuniu.com/tour/210147391,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<欧洲-法国-瑞士12日游>自营全含，30人小团，近1000人游，少女峰，南法，卢浮宫，梵高小镇，瑞士温泉，双列车，特色餐，2人WIFI，拒签全退,￥15299,97%,751,212人,",国际奥委会总部，勃朗特快车，皇宫花园，盖布朗利博物馆，拉维莱特公园，费尔塞内格，埃兹，巴黎迪士尼乐园，冰川快车，大喷泉和大花钟",牛人专线,国庆，10月2日，10月10日，11月14日，12月1日，1月16日，1月31日，3月29日,",北京出发| 北京成团| TGV 卢浮宫 少女峰泡温泉 2人WIFI",有自由活动免费WiFi
http://www.tuniu.com/tour/210586330,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,"<俄罗斯-莫斯科+圣彼得堡8-9日游>欧洲自营25人小团,全含,深起港止,俄航四飞,国际四星,叶卡花园及琥珀宫,冬宫夏宫花园,克宫,金环小镇,俄式大餐,WiFi",￥11899,95%,246,63人,",新圣女公墓，叶卡捷琳娜宫，夏宫，莫斯科航天纪念博物馆，克里姆林宫，冬宫",牛人专线,9月16日，9月27日,",深圳出发| 深圳成团| 国际四星酒店 叶卡花园及琥珀宫 冬宫 夏宫花园 克宫 金环小镇 俄罗斯...",免费WiFi
http://www.tuniu.com/tour/210615425,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯8日游>珠海出发，澳门正班机直飞，莫斯科，圣彼得堡，红场，冬宫，夏宫花园，双庄园，彼得保罗要塞，跟团免签,￥5766,89%,49,5人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，克里姆林宫，冬宫，亚历山大花园，瓦西里大教堂，列宁山",享游俄罗斯,国庆，8月30日，9月6日，9月13日，9月20日，9月27日，10月4日，10月11日，10月18日，10月25日,",珠海出发| 珠海成团| 中俄美食搭配 感受苏联文化 探索战斗民族 游览经典景点 ",有自由活动
